GEOID,Male_total,Female_total,%AGE_MALE_YNG,%AGE_MALE_MID,%AGE_MALE_OLD,%AGE_MALE_YOUNG,%AGE_MALE_OLDER,%AGE_FEMALE_YNG,%AGE_FEMALE_MID,%AGE_FEMALE_OLD,%AGE_FEMALE_YOUNG,%AGE_FEMALE_OLDER,%RACE_White,%RACE_Black,%RACE_Latino,%RACE_Native,%RACE_Asian,%RACE_HI_PI,%RACE_Other,%RACE_Mixed,%RACE_NonWhite,%RACE_BAO,%RACE_LNHM,%REL_OP_SEX_MAR,%REL_OP_SEX_UNMAR,%REL_S_SEX_MAR,%REL_S_SEX_UNMAR,%REL_W_RELATIVES,%REL_NON_REL,%REL_MALE_JAILED,%REL_FEMALE_JAILED,%REL_MALE_GRP_DORM,%REL_FEMALE_GRP_DORM,%HH_MARRIED,%HH_MAR_W_KIDS,%HH_NOT_MAR,%HH_NOT_MAR_W_KIDS,%HH_MALE_ALONE,%HH_MALE_65+,%HH_MALE_W_KIDS,%HH_FEMALE_ALONE,%HH_FEMALE_65+,%HH_FEMALE_W_KIDS,%OWN_HOME,%Urban_pop,PARTY_WIN,PARTY_LEAD
26125,622781,651614,29.38,19.3,29.9,41.78,36.8,33.18,13.4,34.0,46.58,34.0,69.0,13.2,4.8,0.2,8.3,0.0,0.4,4.1,31.0,21.9,9.1,19.8,2.2,0.2,0.1,3.0,2.1,0.2,0.3,0.3,0.3,48.5,18.9,5.7,1.4,13.6,3.7,1.3,16.5,8.3,3.9,70.7,94.46,1,0.14
26127,13516,13143,23.69,16.8,36.8,34.29,43.0,28.15,11.2,38.1,39.35,38.1,79.5,0.5,15.4,0.7,0.3,0.0,0.3,3.3,20.5,1.1,19.4,20.2,3.1,0.1,0.1,3.3,2.8,0.2,0.3,0.6,0.4,52.3,15.4,8.0,3.4,13.8,5.2,1.3,11.9,7.4,3.6,81.5,0.0,0,-0.28
26129,10402,10368,21.11,16.3,44.1,31.41,50.1,24.77,11.3,45.5,36.07,45.5,92.8,0.3,2.1,0.5,0.3,0.0,0.3,3.7,7.2,0.9,6.3,20.5,3.1,0.1,0.1,2.6,2.6,0.6,0.5,0.0,0.0,46.6,11.1,7.0,2.6,16.8,7.2,1.5,15.7,9.7,3.2,80.5,0.0,0,-0.4
26131,2986,2830,14.67,15.8,58.2,23.77,64.9,17.37,12.1,58.9,29.47,58.9,93.4,0.1,1.2,1.0,0.3,0.0,0.2,3.7,6.5,0.6,5.9,23.4,3.1,0.1,0.2,1.6,1.4,0.1,0.4,0.4,0.2,46.1,7.6,6.3,1.4,20.9,10.6,0.9,17.0,10.7,1.6,87.0,0.0,0,-0.25
26133,11487,11404,22.84,16.9,35.7,33.14,42.3,27.95,11.5,38.2,39.45,38.2,92.6,0.7,1.7,0.6,0.1,0.0,0.3,4.0,7.4,1.1,6.3,20.0,2.9,0.1,0.1,2.6,2.8,0.6,0.4,0.3,0.2,50.3,15.3,7.6,3.2,13.6,5.2,1.7,14.4,8.1,3.8,80.1,0.0,0,-0.46
26135,4226,3993,18.32,14.5,48.5,26.82,54.5,23.35,10.4,49.1,33.75,49.1,93.5,0.1,1.9,0.4,0.1,0.0,0.1,3.9,6.5,0.3,6.2,21.7,2.7,0.1,0.1,2.3,2.3,0.1,0.3,0.0,0.1,48.2,10.9,6.1,2.0,18.4,8.7,1.0,15.2,9.2,2.0,84.0,0.0,0,-0.44
26137,12551,12540,24.38,18.0,36.3,35.08,43.6,28.58,12.6,38.9,41.18,38.9,92.3,0.4,1.8,0.6,0.4,0.0,0.2,4.3,7.7,1.0,6.7,20.8,3.3,0.1,0.1,2.4,2.8,0.3,0.2,0.3,0.4,50.3,14.8,8.3,3.2,13.7,5.0,1.5,14.1,8.3,3.7,76.7,33.78,0,-0.34
26139,144914,151286,30.98,17.2,27.1,42.38,32.9,36.94,11.2,29.3,48.14,29.3,81.5,1.7,9.9,0.2,2.7,0.0,0.3,3.6,18.4,4.7,13.7,20.9,1.8,0.1,0.1,2.3,3.6,0.2,0.4,1.0,1.7,58.0,23.0,5.2,1.9,9.7,2.9,1.4,12.9,7.1,3.4,77.3,78.8,0,-0.21
26141,6515,6467,18.02,15.3,51.2,27.42,57.1,22.2,10.7,51.7,32.9,51.7,94.6,0.2,1.2,0.5,0.4,0.0,0.2,2.9,5.4,0.8,4.6,23.8,2.8,0.0,0.0,1.9,1.7,0.3,0.3,0.3,0.3,51.1,10.4,5.9,1.8,17.7,7.8,1.0,15.4,9.9,2.2,86.3,0.0,0,-0.29
26143,11785,11674,18.38,15.6,51.5,27.68,57.8,21.76,11.2,53.4,32.96,53.4,93.3,0.3,1.9,0.4,0.3,0.0,0.2,3.6,6.7,0.8,5.9,21.6,3.5,0.1,0.1,2.4,2.6,0.3,0.2,0.2,0.2,44.5,7.4,7.3,2.3,18.7,8.8,1.0,17.4,10.4,2.7,81.5,56.13,0,-0.3
26145,91986,98138,27.13,17.5,32.2,38.33,38.5,31.42,11.8,36.0,43.22,36.0,67.7,17.6,8.9,0.2,1.2,0.0,0.4,3.8,32.1,19.2,12.9,17.0,2.9,0.1,0.1,2.8,2.5,1.0,0.4,0.7,1.1,41.4,13.0,7.2,2.7,14.2,4.6,1.5,17.5,9.3,6.7,70.5,67.38,1,0.0
26147,79889,80494,25.2,19.1,34.5,37.1,41.7,29.39,13.6,37.2,42.99,37.2,88.8,2.4,3.4,0.3,0.5,0.0,0.3,4.3,11.2,3.2,8.0,19.8,3.1,0.1,0.1,2.8,2.4,0.3,0.3,0.2,0.1,48.5,14.8,7.9,3.0,13.9,4.7,1.3,14.4,8.3,4.2,77.0,60.49,0,-0.3
26149,30478,30461,26.24,17.5,30.9,37.74,36.9,30.9,11.2,34.1,42.1,34.1,83.2,2.2,8.9,0.2,0.7,0.0,0.3,4.5,16.8,3.2,13.6,19.1,3.1,0.1,0.1,3.4,2.9,0.2,0.3,0.1,0.1,49.5,17.2,8.3,3.5,12.8,4.3,1.8,13.5,7.7,4.3,75.0,36.28,0,-0.32
26151,20336,20275,23.45,17.6,36.8,34.55,43.3,27.6,12.3,39.5,39.9,39.5,91.6,0.4,4.1,0.3,0.2,0.0,0.2,3.2,8.4,0.8,7.6,20.5,3.0,0.1,0.1,2.4,2.3,0.5,0.4,0.2,0.1,49.8,14.9,7.3,3.0,14.8,5.4,1.4,15.1,9.0,3.4,79.4,6.36,0,-0.46
26153,3970,4077,18.82,17.4,46.0,29.12,53.1,23.09,12.4,47.6,35.49,47.6,83.6,0.1,1.2,8.7,0.2,0.0,0.1,6.1,16.4,0.4,16.0,21.7,3.7,0.1,0.1,2.1,1.7,0.3,0.8,0.5,0.4,48.0,10.7,8.3,3.2,16.2,7.1,1.5,15.7,9.5,3.2,82.4,0.0,0,-0.32
26155,33671,34423,26.04,19.1,33.4,38.04,40.5,30.22,12.7,37.1,42.92,37.1,91.4,0.5,3.0,0.3,0.4,0.0,0.3,4.1,8.6,1.2,7.4,20.3,3.3,0.1,0.1,2.6,2.4,0.2,0.3,0.1,0.1,49.9,15.5,8.3,3.2,12.6,4.1,1.7,14.4,8.5,3.9,76.9,40.22,0,-0.2
