GEOID,Pop_Urban,Pop_Rural,%Urban_pop
46047,0,6973,0.0
46049,0,2125,0.0
46051,0,7556,0.0
46053,0,3994,0.0
46055,0,1872,0.0
46057,0,6164,0.0
46059,0,3145,0.0
46061,0,3461,0.0
46063,0,1311,0.0
46065,12670,5095,71.32
46067,0,7427,0.0
46069,0,1262,0.0
46071,0,2806,0.0
46073,0,1663,0.0
46075,0,917,0.0
46077,0,5187,0.0
46079,6169,4890,55.78
46081,17328,8440,67.25
46083,48561,16600,74.52
46085,0,3718,0.0
46087,0,5682,0.0
46089,0,2411,0.0
46091,0,4306,0.0
46093,19925,9927,66.75
46095,0,1918,0.0
46097,0,2298,0.0
46099,168939,28275,85.66
46101,0,6336,0.0
46102,0,13672,0.0
46103,89541,19681,81.98
46105,0,2835,0.0
46107,0,2472,0.0
46109,0,10280,0.0
46111,0,2330,0.0
46115,0,6361,0.0
46117,2085,895,69.97
46119,0,1446,0.0
46121,0,9319,0.0
46123,0,5624,0.0
46125,0,8673,0.0
46127,7076,9735,42.09
46129,0,5315,0.0
46135,16022,7288,68.73
46137,0,2413,0.0
47001,48957,28166,63.48
47003,22552,27685,44.89
47005,0,15864,0.0
47007,0,14913,0.0
47009,84955,50325,62.8
47011,73918,34702,68.05
47013,20114,19158,51.22
47015,0,14506,0.0
47017,5090,23350,17.9
47019,33398,22958,59.26
47021,0,41072,0.0
47023,5906,11435,34.06
47025,9187,22856,28.67
47027,0,7581,0.0
47029,11558,24441,32.11
47031,31216,26673,53.92
47033,0,13911,0.0
47035,28161,32984,46.06
47037,693387,22497,96.86
47039,0,11435,0.0
47041,4825,15255,24.03
47043,16543,37772,30.46
47045,16790,20011,45.62
47047,10629,31361,25.31
47049,0,18489,0.0
47051,13729,29045,32.1
47053,14738,35691,29.23
47055,8158,22188,26.88
47057,3663,19864,15.57
47059,22919,47233,32.67
47061,0,13529,0.0
47063,49883,14616,77.34
47065,320409,45798,87.49
47067,0,6662,0.0
47069,5281,20181,20.74
47071,8828,18003,32.9
47073,21511,35210,37.92
47075,9621,8243,53.86
47077,6357,21485,22.83
47079,10377,21822,32.23
47081,0,24925,0.0
47083,0,8283,0.0
47085,0,18990,0.0
47087,0,11617,0.0
47089,13224,41459,24.18
47091,0,17948,0.0
47093,434938,44033,90.81
47095,0,7005,0.0
47097,6922,18221,27.53
47099,11679,32480,26.45
47101,0,12582,0.0
47103,10120,25199,28.65
47105,35316,19570,64.34
47107,20425,32851,38.34
47109,0,25866,0.0
47111,6174,19042,24.48
47113,72809,26014,73.68
47115,2496,26341,8.66
47117,11934,22384,34.77
47119,63127,37847,62.52
47121,0,12758,0.0
47123,12350,33900,26.7
47125,181045,39024,82.27
47127,7,6454,0.11
47129,0,21035,0.0
47131,12528,18259,40.69
47133,0,22511,0.0
47135,0,8366,0.0
47137,0,5001,0.0
47139,0,17544,0.0
47141,49089,30765,61.47
47143,9688,23182,29.47
47145,25573,27831,47.89
47147,34217,38586,47.0
47149,286971,54515,84.04
47151,0,21850,0.0
47153,0,15826,0.0
47155,45879,52501,46.63
47157,898107,31637,96.6
47159,0,19904,0.0
47161,0,13657,0.0
47163,116193,41970,73.46
47165,146702,49579,74.74
47167,20326,40644,33.34
47169,0,11615,0.0
47171,8705,9223,48.56
47173,0,19802,0.0
47175,0,6168,0.0
47177,15711,25242,38.36
47179,98740,34261,74.24
47181,0,16232,0.0
47183,10714,22188,32.56
47185,5691,21660,20.81
47187,201545,46181,81.36
47189,95677,52060,64.76
48001,18615,39307,32.14
48003,15201,3409,81.68
48005,41551,44844,48.09
48007,18212,5618,76.42
48009,1082,7478,12.64
48011,0,1848,0.0
48013,13983,34998,28.55
48015,6385,23782,21.17
48017,5159,1745,74.72
48019,0,20851,0.0
48021,27216,70000,28.0
48023,0,3465,0.0
48025,14230,16817,45.83
48027,319903,50744,86.31
48029,1914732,94592,95.29
48031,0,11374,0.0
48033,0,631,0.0
48035,0,18235,0.0
