GEOID,TOTAL_VOTES,DEM_VOTES,DEM_SHARE,REP_VOTES,REP_SHARE,THRD_VOTES,THRD_SHARE,PARTY_WIN,PARTY_LEAD, 
6075,443458,378156,85.27,56417,12.72,8885,2,1,0.73,
6077,288443,161137,55.86,121098,41.98,6208,2.15,1,0.14,
6079,159681,88310,55.3,67436,42.23,3935,2.46,1,0.13,
6081,374171,291496,77.9,75584,20.2,7091,1.9,1,0.58,
6083,200288,129963,64.89,65736,32.82,4589,2.29,1,0.32,
6085,850522,617967,72.66,214612,25.23,17943,2.11,1,0.47,
6087,144796,114246,78.9,26937,18.6,3613,2.5,1,0.6,
6089,92900,30000,32.29,60789,65.43,2111,2.27,0,-0.33,
6091,1930,730,37.82,1142,59.17,58,3.01,0,-0.21,
6093,23450,9593,40.91,13290,56.67,567,2.42,0,-0.16,
6095,205831,131639,63.95,69306,33.67,4886,2.37,1,0.3,
6097,268252,199938,74.53,61825,23.05,6489,2.42,1,0.51,
6099,214876,105841,49.26,104145,48.47,4890,2.28,1,0.01,
6101,42640,17367,40.73,24375,57.16,898,2.11,0,-0.16,
6103,28721,8911,31.03,19141,66.64,669,2.33,0,-0.36,
6105,6258,2851,45.56,3188,50.94,219,3.5,0,-0.05,
6107,146832,66105,45.02,77579,52.84,3148,2.14,0,-0.08,
6109,30401,11978,39.4,17689,58.19,734,2.41,0,-0.19,
6111,422698,251388,59.47,162207,38.37,9103,2.15,1,0.21,
6113,97264,67598,69.5,27292,28.06,2374,2.44,1,0.41,
6115,29787,11230,37.7,17676,59.34,881,2.96,0,-0.22,
